,Site,Error Values
90,Lovelyz_zh.wikipedia.org_all-access_spider,82.91552210195543
91,Lulu_zh.wikipedia.org_all-access_spider,62.08163331615059
92,MADTOWN_zh.wikipedia.org_all-access_spider,49.60483276366956
93,MAMAMOO_zh.wikipedia.org_all-access_spider,63.27930412260995
94,MONSTA_X_zh.wikipedia.org_all-access_spider,68.954950145099
95,Madame_Antoine_zh.wikipedia.org_all-access_spider,52.619914597979964
96,Mamamoo_zh.wikipedia.org_all-access_spider,61.963341172875495
97,Mike_D._Angelo_zh.wikipedia.org_all-access_spider,55.21307476927764
98,Miss_A_zh.wikipedia.org_all-access_spider,37.70269788136606
99,Missing9_zh.wikipedia.org_all-access_spider,46.72297637714497
100,Monstar_zh.wikipedia.org_all-access_spider,39.0545363038671
101,Mrs._Cop_2_zh.wikipedia.org_all-access_spider,41.533598386710985
102,NBA_zh.wikipedia.org_all-access_spider,75.8713141328444
103,NCT_zh.wikipedia.org_all-access_spider,78.14184924418723
104,NEW_GAME!_zh.wikipedia.org_all-access_spider,46.271495784065586
105,Netflix_zh.wikipedia.org_all-access_spider,28.183675180709738
106,Niantic_zh.wikipedia.org_all-access_spider,30.179648161469903
107,ONE_OK_ROCK_zh.wikipedia.org_all-access_spider,47.093535724799054
108,ONE_PIECE_zh.wikipedia.org_all-access_spider,49.15116600195539
109,ONE_PIECE_FILM_GOLD_zh.wikipedia.org_all-access_spider,33.77415668394337
110,Oh_My_Girl_zh.wikipedia.org_all-access_spider,82.80434667000563
111,Oh_My_Venus_zh.wikipedia.org_all-access_spider,34.05581327064955
112,PRODUCE_101_zh.wikipedia.org_all-access_spider,40.025928725338225
113,Page_Turner_zh.wikipedia.org_all-access_spider,38.79145048149869
114,Pen-Pineapple-Apple-Pen_zh.wikipedia.org_all-access_spider,43.86929370048839
115,PewDiePie_zh.wikipedia.org_all-access_spider,81.35454170774621
116,Popu_Lady_zh.wikipedia.org_all-access_spider,75.15107788777645
117,Pristin_zh.wikipedia.org_all-access_spider,
118,Python_zh.wikipedia.org_all-access_spider,30.695508126173987
119,Qualidea_Code_zh.wikipedia.org_all-access_spider,33.22535095049664
120,RADWIMPS_zh.wikipedia.org_all-access_spider,32.52925425672626
121,RAID_zh.wikipedia.org_all-access_spider,34.99761020117877
122,RWBY_zh.wikipedia.org_all-access_spider,76.03364763075497
123,Rain_zh.wikipedia.org_all-access_spider,39.824441394105506
124,ReLIFE_zh.wikipedia.org_all-access_spider,63.04211302248931
125,Red_Velvet_zh.wikipedia.org_all-access_spider,75.20458632615212
126,Rewrite_zh.wikipedia.org_all-access_spider,41.7109063475481
127,Running_Man_zh.wikipedia.org_all-access_spider,58.29373617819728
128,S.H.E_zh.wikipedia.org_all-access_spider,69.52291479862922
129,SF9_zh.wikipedia.org_all-access_spider,78.41619121946215
130,SHINee_zh.wikipedia.org_all-access_spider,36.666117802222296
131,SISTAR_zh.wikipedia.org_all-access_spider,36.57630046721484
132,SIXTEEN_zh.wikipedia.org_all-access_spider,55.886345902225756
133,SMAP_zh.wikipedia.org_all-access_spider,35.65721112603028
134,SNH48_zh.wikipedia.org_all-access_spider,65.234724960927
135,SUPER_LOVERS_zh.wikipedia.org_all-access_spider,52.01671959968309
136,Schwarzesmarken_zh.wikipedia.org_all-access_spider,45.65302746719217
137,Secret_Love_zh.wikipedia.org_all-access_spider,49.41263938625167
138,SpeXial_zh.wikipedia.org_all-access_spider,65.47019482004502
139,Special:Search_zh.wikipedia.org_all-access_spider,27.454327085794745
140,Super_Junior_zh.wikipedia.org_all-access_spider,35.8450302345483
141,Supper_Moment_zh.wikipedia.org_all-access_spider,44.786903418158616
142,T-ara_zh.wikipedia.org_all-access_spider,30.87275364706652
143,T.O.P._zh.wikipedia.org_all-access_spider,45.93872967805066
144,TANet_zh.wikipedia.org_all-access_spider,56.78941083572959
145,TFBOYS_zh.wikipedia.org_all-access_spider,45.7381643681978
146,THE_K2_zh.wikipedia.org_all-access_spider,41.429109949868284
147,TWICE_zh.wikipedia.org_all-access_spider,62.07752257006408
148,TWICEcoaster:_LANE_2_zh.wikipedia.org_all-access_spider,
149,The_Good_Wife_zh.wikipedia.org_all-access_spider,47.31177544785742
150,The_Pancakes_zh.wikipedia.org_all-access_spider,75.90245030464274
151,Twice_zh.wikipedia.org_all-access_spider,54.21328605862092
152,Twins_zh.wikipedia.org_all-access_spider,53.48449374425144
153,Two_Yoo_Project_-_Sugar_Man_zh.wikipedia.org_all-access_spider,38.936560314621836
154,UNDER_LOVER_zh.wikipedia.org_all-access_spider,65.16559598274392
155,USB_3.1_zh.wikipedia.org_all-access_spider,28.827769373816746
156,USB_Type-C_zh.wikipedia.org_all-access_spider,39.43143914336931
157,Undertale_zh.wikipedia.org_all-access_spider,40.71355229751886
158,User:Caoliucm_zh.wikipedia.org_all-access_spider,44.81063361641974
159,User:Kingchang711_zh.wikipedia.org_all-access_spider,123.30668361391608
160,User_talk:Caoliushequa_zh.wikipedia.org_all-access_spider,90.60110131415458
161,ViVid_Strike!_zh.wikipedia.org_all-access_spider,71.83321378522068
162,ViuTV_zh.wikipedia.org_all-access_spider,39.845050958068676
163,Voice_zh.wikipedia.org_all-access_spider,122.65115051123527
164,WINNER_zh.wikipedia.org_all-access_spider,60.31694548998714
165,Wanted_zh.wikipedia.org_all-access_spider,53.32904034814342
166,Weather_Girls_zh.wikipedia.org_all-access_spider,43.0330007691144
167,Weekly_Idol_zh.wikipedia.org_all-access_spider,53.91760186987617
168,Wiki_zh.wikipedia.org_all-access_spider,39.49606655888784
169,Wonder_Girls_zh.wikipedia.org_all-access_spider,30.29222208140802
170,X_Japan_zh.wikipedia.org_all-access_spider,38.61587897200964
171,Xargon_zh.wikipedia.org_all-access_spider,111.23932086770014
172,Xss_zh.wikipedia.org_all-access_spider,106.5915562439533
173,YouTube_zh.wikipedia.org_all-access_spider,25.161227600742365
174,Yuri!!!_on_ICE_zh.wikipedia.org_all-access_spider,
175,load.php_zh.wikipedia.org_all-access_spider,200.0
176,xss_zh.wikipedia.org_all-access_spider,199.99826832987034
177,Healer_zh.wikipedia.org_all-access_spider,32.97033523150186
178,VIXX_zh.wikipedia.org_all-access_spider,53.6108462712638
179,活色生香_(电视剧)_zh.wikipedia.org_all-access_spider,47.47446228070231
180,王家禧_zh.wikipedia.org_all-access_spider,48.92618556618788
181,金日成_zh.wikipedia.org_all-access_spider,27.510134284293624
182,惠若琪_zh.wikipedia.org_all-access_spider,52.7796587942654
183,建制派_zh.wikipedia.org_all-access_spider,46.832873712969295
184,九把刀_zh.wikipedia.org_all-access_spider,47.89485098741629
185,冈比亚_zh.wikipedia.org_all-access_spider,46.72582184480222
186,中華航空_zh.wikipedia.org_all-access_spider,52.872078508059495
187,亞斯伯格症候群_zh.wikipedia.org_all-access_spider,50.24677611159946
188,苏美尔王表_zh.wikipedia.org_all-access_spider,37.64360560657653
189,聽見幸福_zh.wikipedia.org_all-access_spider,52.867085192891736
190,楊明學_zh.wikipedia.org_all-access_spider,43.61291351706787
191,NO_GAME_NO_LIFE_遊戲人生_zh.wikipedia.org_all-access_spider,41.47277245839987
192,阿不思·鄧不利多_zh.wikipedia.org_all-access_spider,32.20261791997024
193,杜麗莎_zh.wikipedia.org_all-access_spider,56.54880352959326
194,吴磊_(演员)_zh.wikipedia.org_all-access_spider,60.29658085095567
195,馬澄財_zh.wikipedia.org_all-access_spider,79.01301084814104
196,新妹魔王的契约者_zh.wikipedia.org_all-access_spider,44.15733964713574
197,宇多田光_zh.wikipedia.org_all-access_spider,32.986007137025005
198,翻译_zh.wikipedia.org_all-access_spider,36.493522176679335
199,唐氏综合症_zh.wikipedia.org_all-access_spider,41.99141632713913
200,花兒與少年_zh.wikipedia.org_all-access_spider,37.911179335821046
201,大奧_(富士電視劇)_zh.wikipedia.org_all-access_spider,26.44266140477656
202,最佳國語男歌手獎_(金曲獎)_zh.wikipedia.org_all-access_spider,41.57905446482796
203,佛教_zh.wikipedia.org_all-access_spider,20.027823489967027
204,文豪Stray_Dogs_zh.wikipedia.org_all-access_spider,48.95588947668192
205,100毛_zh.wikipedia.org_all-access_spider,68.21899872794936
206,林夏薇_zh.wikipedia.org_all-access_spider,58.21856172832794
207,金秀賢_(男演員)_zh.wikipedia.org_all-access_spider,58.89286677880807
208,黑色星期五_zh.wikipedia.org_all-access_spider,31.09004791450682
209,張書豪_zh.wikipedia.org_all-access_spider,37.09578326379966
210,李世光_zh.wikipedia.org_all-access_spider,51.550066990175715
211,古力_zh.wikipedia.org_all-access_spider,57.71412266552976
212,齊莫男爵_zh.wikipedia.org_all-access_spider,39.58891035047251
213,趙傳_zh.wikipedia.org_all-access_spider,35.02603786685407
214,死亡筆記_(電影)_zh.wikipedia.org_all-access_spider,58.08546710609255
215,诸葛亮_zh.wikipedia.org_all-access_spider,49.691172570895034
216,夏梦_zh.wikipedia.org_all-access_spider,32.88468311655249
217,吳業坤_zh.wikipedia.org_all-access_spider,69.88468345864742
218,700歲旅程_zh.wikipedia.org_all-access_spider,81.18883598440135
219,文化大革命_zh.wikipedia.org_all-access_spider,34.12351325922101
220,德国_zh.wikipedia.org_all-access_spider,33.81895044507787
221,拉斐爾·拿度_zh.wikipedia.org_all-access_spider,43.88148838955281
222,米歇爾·奧巴馬_zh.wikipedia.org_all-access_spider,47.27054479258653
223,曲紋唇魚_zh.wikipedia.org_all-access_spider,38.278312024266164
224,元秋_zh.wikipedia.org_all-access_spider,46.45068942751372
225,林更新_zh.wikipedia.org_all-access_spider,31.32635244406633
226,陳豪_(演員)_zh.wikipedia.org_all-access_spider,39.450214183293
227,比利时_zh.wikipedia.org_all-access_spider,24.01386966708062
228,一個中國_(中華人民共和國)_zh.wikipedia.org_all-access_spider,57.93608539969253
229,孫慧雪_zh.wikipedia.org_all-access_spider,66.69276815226914
230,羅明珠_zh.wikipedia.org_all-access_spider,71.28837650789006
231,林明昇_zh.wikipedia.org_all-access_spider,73.99480696058023
232,郁可唯_zh.wikipedia.org_all-access_spider,58.07735453914438
233,八极拳_zh.wikipedia.org_all-access_spider,36.07672811133903
234,魔鬼剋星_zh.wikipedia.org_all-access_spider,35.14614891528728
235,極黑的布倫希爾德_zh.wikipedia.org_all-access_spider,46.91400643452532
236,慈禧太后_zh.wikipedia.org_all-access_spider,29.638233318424817
237,秋瓷炫_zh.wikipedia.org_all-access_spider,28.600514095359802
238,旗木卡卡西_zh.wikipedia.org_all-access_spider,58.87197116596291
239,蘇格蘭_zh.wikipedia.org_all-access_spider,39.47433709550381
240,注意力不足過動症_zh.wikipedia.org_all-access_spider,86.41173112319368
241,班·艾佛列克_zh.wikipedia.org_all-access_spider,45.82892706543878
242,綠表置居先導計劃_zh.wikipedia.org_all-access_spider,46.744569390936206
243,藍牙_zh.wikipedia.org_all-access_spider,26.406235391547433
244,Special:最近更改_zh.wikipedia.org_all-access_spider,63.95928808010113
245,夜魔俠_(電視劇)_zh.wikipedia.org_all-access_spider,70.66977936313896
246,宋慧喬_zh.wikipedia.org_all-access_spider,33.16684667092128
